category,grp,code,descript
EQP INVL  ,2,214,Wiring from meter box to circuit breaker          
EQP INVL  ,2,215,"Panelboard, switchboard, circuit breaker board    "
EQP INVL  ,2,216,Electrical branch circuit                         
EQP INVL  ,2,217,"Outlet, receptacle                                "
EQP INVL  ,2,218,Wall switch                                       
EQP INVL  ,2,219,"Ground fault interrupter, GFI                     "
EQP INVL  ,2,221,"Transformer, distribution type                    "
EQP INVL  ,2,222,"Overcurrent, disconnect equipment                 "
EQP INVL  ,2,223,"Transformer, low voltage                          "
EQP INVL  ,2,224,Generator                                         
EQP INVL  ,2,225,Inverter                                          
EQP INVL  ,2,226,Uninterrupted power supply (UPS)                  
EQP INVL  ,2,227,Surge protector                                   
EQP INVL  ,2,228,"Battery charger, rectifier                        "
EQP INVL  ,2,229,Battery                                           
EQP INVL  ,2,230,"Lamp, lighting, Other                             "
EQP INVL  ,2,231,"Lamp: tabletop, floor, desk                       "
EQP INVL  ,2,232,"Lantern, flashlight                               "
EQP INVL  ,2,233,Incandescent lighting fixture                     
EQP INVL  ,2,234,"Fluorescent lighting fixture, ballast             "
EQP INVL  ,2,235,Halogen lighting fixture or lamp                  
EQP INVL  ,2,236,"Sodium, mercury vapor lighting fixtures or lamps  "
EQP INVL  ,2,237,"Work light, trouble light                         "
EQP INVL  ,2,238,Light bulb                                        
EQP INVL  ,2,241,Nightlight                                        
EQP INVL  ,2,242,"Decorative lights, line voltage                   "
EQP INVL  ,2,243,"Decorative or landscape lighting, low voltage     "
EQP INVL  ,2,244,Sign                                              
EQP INVL  ,2,251,"Fence, electric                                   "
EQP INVL  ,2,252,Traffic control device                            
EQP INVL  ,2,253,"Lightning rod, arrester/grounding device          "
EQP INVL  ,2,260,"Cord, plug, Other                                 "
EQP INVL  ,2,261,"Power cord, plug - detachable from appliance      "
EQP INVL  ,2,262,"Power cord, plug - permanently attached           "
EQP INVL  ,2,263,Extension cord                                    
EQP INVL  ,3,300,"Shop or industrial equipment, Other               "
EQP INVL  ,3,310,"Power tools, Other                                "
EQP INVL  ,3,311,Power saw                                         
EQP INVL  ,3,312,Power lathe                                       
EQP INVL  ,3,313,"Power shaper, router, jointer, planer             "
EQP INVL  ,3,314,Power cutting tool                                
EQP INVL  ,3,315,"Power drill, screwdriver                          "
EQP INVL  ,3,316,"Power sander, grinder, buffer, polisher           "
EQP INVL  ,3,317,"Power hammer, including jackhammers               "
EQP INVL  ,3,318,"Power nail gun, stud driver, stapler              "
EQP INVL  ,3,320,"Painting tools, Other                             "
EQP INVL  ,3,321,Paint dipper                                      
EQP INVL  ,3,322,Paint flow coating machine                        
EQP INVL  ,3,323,Paint mixing machine                              
EQP INVL  ,3,324,Paint sprayer                                     
EQP INVL  ,3,325,"Coating machine, including asphalt-saturating     "
EQP INVL  ,3,331,Welding torch.                                    
EQP INVL  ,3,332,Cutting torch                                     
EQP INVL  ,3,333,Burners                                           
EQP INVL  ,3,334,Soldering equipment                               
EQP INVL  ,3,340,"Hydraulic equipment, Other                        "
EQP INVL  ,3,341,Air compressor                                    
EQP INVL  ,3,342,Gas compressor                                    
EQP INVL  ,3,343,Atomizing equipment                               
EQP INVL  ,3,344,Pump                                              
EQP INVL  ,3,345,Wet/dry vacuum (shop vacuum)                      
EQP INVL  ,3,346,"Hoist, lift                                       "
EQP INVL  ,3,347,Powered jacking equipment                         
EQP INVL  ,3,348,Drilling machinery or equipment                   
EQP INVL  ,3,351,Heat-treating equipment                           
EQP INVL  ,3,352,Incinerator                                       
EQP INVL  ,3,353,"Industrial furnace, kiln                          "
EQP INVL  ,3,354,"Tarpot, tar kettle                                "
EQP INVL  ,3,355,"Casting, molding, forging equipment               "
EQP INVL  ,3,356,Distilling equipment                              
EQP INVL  ,3,357,"Digester, reactor                                 "
EQP INVL  ,3,358,"Extractor, waste recovery machine                 "
EQP INVL  ,3,361,Conveyor                                          
EQP INVL  ,3,362,"Power transfer equipment: ropes, cables, blocks   "
EQP INVL  ,3,363,Power takeoff                                     
EQP INVL  ,3,364,Powered valves.                                   
EQP INVL  ,3,365,Bearing or brake                                  
EQP INVL  ,3,371,"Picking, carding, weaving machine                 "
EQP INVL  ,3,372,Testing equipment                                 
EQP INVL  ,3,373,Gas regulator                                     
EQP INVL  ,3,374,Motor - separate                                  
EQP INVL  ,3,375,Internal combustion engine (non-vehicular)        
EQP INVL  ,3,376,Printing press                                    
EQP INVL  ,3,377,Car washing equipment                             
EQP INVL  ,4,400,"Commercial or medical equipment, Other            "
EQP INVL  ,4,410,"Medical equipment, Other                          "
EQP INVL  ,4,411,"Dental, medical, or other powered bed or chair    "
EQP INVL  ,4,412,"Dental equipment, Other                           "
EQP INVL  ,4,413,Dialysis equipment                                
EQP INVL  ,4,414,Medical imaging equipment                         
EQP INVL  ,4,415,Medical monitoring equipment                      
EQP INVL  ,4,416,Oxygen administration equipment                   
EQP INVL  ,4,417,"Radiological equipment, x-ray, radiation therapy  "
EQP INVL  ,4,418,Sterilizer: medical                               
EQP INVL  ,4,419,Therapeutic equipment                             
EQP INVL  ,4,421,Transmitter                                       
EQP INVL  ,4,422,"Telephone switching gear, including PBX           "
EQP INVL  ,4,423,TV monitor array                                  
EQP INVL  ,4,424,Studio-type TV camera                             
EQP INVL  ,4,425,Studio-type sound recording/modulating equipment  
EQP INVL  ,4,426,Radar equipment                                   
EQP INVL  ,4,431,Amusement ride equipment                          
EQP INVL  ,4,432,Ski lift                                          
EQP INVL  ,4,433,Elevator or lift                                  
EQP INVL  ,4,434,Escalator                                         
EQP INVL  ,4,441,"Microfilm, microfiche viewing equipment           "
EQP INVL  ,4,442,Photo processing equipment                        
EQP INVL  ,4,443,Vending machine                                   
EQP INVL  ,4,444,Nonvideo arcade game                              
EQP INVL  ,4,445,"Water fountain, water cooler                      "
EQP INVL  ,4,446,Telescope                                         
EQP INVL  ,4,450,"Laboratory equipment, Other                       "
EQP INVL  ,4,451,Electron microscope                               
EQP INVL  ,5,500,"Gardening tools or agricultural equipment, Other  "
EQP INVL  ,5,511,"Combine, threshing machine                        "
EQP INVL  ,5,512,Hay processing equipment                          
EQP INVL  ,5,513,Elevator or conveyor: farm                        
EQP INVL  ,5,514,"Silo loader, unloader, screw/sweep auger          "
EQP INVL  ,5,515,"Feed grinder, mixer, blender                      "
EQP INVL  ,5,516,Milking machine                                   
EQP INVL  ,5,517,Pasteurizer                                       
EQP INVL  ,5,518,Cream separator                                   
EQP INVL  ,5,521,Sprayer/Farm or Garden                            
EQP INVL  ,5,522,Chain saw                                         
EQP INVL  ,5,523,Weed burner                                       
EQP INVL  ,5,524,Lawn mower                                        
EQP INVL  ,5,525,"Lawn, landscape trimmer, edger                    "
EQP INVL  ,5,531,Lawn vacuum                                       
EQP INVL  ,5,532,Leaf blower                                       
EQP INVL  ,5,533,"Mulcher, grinder, chipper                         "
EQP INVL  ,5,534,"Snow blower, thrower                              "
EQP INVL  ,5,535,Log splitter                                      
EQP INVL  ,5,536,Post-hole auger                                   
EQP INVL  ,5,537,"Post driver, pile driver                          "
EQP INVL  ,5,538,"Tiller, cultivator                                "
EQP INVL  ,6,600,"Kitchen & cooking equipment, Other                "
EQP INVL  ,6,611,"Blender, juicer, food processor, mixer            "
EQP INVL  ,6,612,Coffee grinder                                    
EQP INVL  ,6,621,Can opener                                        
EQP INVL  ,6,622,Knife                                             
EQP INVL  ,6,623,Knife sharpener                                   
EQP INVL  ,6,631,Coffee maker or teapot                            
EQP INVL  ,6,632,"Food warmer, hot plate                            "
EQP INVL  ,6,633,Kettle                                            
EQP INVL  ,6,634,Popcorn popper                                    
EQP INVL  ,6,635,Pressure cooker or canner                         
EQP INVL  ,6,636,Slow cooker                                       
EQP INVL  ,6,637,"Toaster, toaster oven, counter-top broiler        "
EQP INVL  ,6,638,"Waffle iron, griddle                              "
EQP INVL  ,6,639,"Wok, frying pan, skillet                          "
EQP INVL  ,6,641,Breadmaking machine                               
EQP INVL  ,6,642,Deep fryer                                        
EQP INVL  ,6,643,"Grill, hibachi, barbecue                          "
EQP INVL  ,6,644,Microwave oven                                    
EQP INVL  ,6,645,"Oven, rotisserie                                  "
EQP INVL  ,6,646,"Range, stove with/without oven or cooking surface "
EQP INVL  ,6,647,"Steam table, warming drawer/table                 "
EQP INVL  ,6,651,Dishwasher                                        
EQP INVL  ,6,652,Freezer when separate from refrigerator           
EQP INVL  ,6,653,Garbage disposer                                  
EQP INVL  ,6,654,Grease hood/duct exhaust fan                      
EQP INVL  ,6,655,Ice maker (separate from refrigerator)            
EQP INVL  ,6,656,"Refrigerator, refrigerator/freezer                "
EQP INVL  ,7,700,"Electronic equipment, Other                       "
EQP INVL  ,7,710,"Computer device, Other                            "
EQP INVL  ,7,711,Computer                                          
EQP INVL  ,7,712,Computer storage device: external                 
EQP INVL  ,7,713,Computer modem: external                          
EQP INVL  ,7,714,Computer monitor                                  
EQP INVL  ,7,715,Computer printer                                  
EQP INVL  ,7,716,"Computer projection device, LCD panel             "
EQP INVL  ,7,720,"Office equipment, Other                           "
EQP INVL  ,7,721,"Adding machine, calculator                        "
EQP INVL  ,7,722,Telephone or answering machine                    
EQP INVL  ,7,723,Cash register                                     
EQP INVL  ,7,724,Copier                                            
EQP INVL  ,7,725,Fax machine                                       
EQP INVL  ,7,726,Paper shredder                                    
EQP INVL  ,7,727,"Postage, shipping meter equipment                 "
EQP INVL  ,7,728,Typewriter                                        
EQP INVL  ,7,730,"Musical instrument, Other                         "
EQP INVL  ,7,731,Guitar                                            
EQP INVL  ,7,732,"Piano, organ                                      "
EQP INVL  ,7,733,Musical synthesizer or keyboard                   
EQP INVL  ,7,740,"Sound recording or receiving equipment, Other     "
EQP INVL  ,7,741,CD player (audio)                                 
EQP INVL  ,7,742,Laser disk player                                 
EQP INVL  ,7,743,Radio                                             
EQP INVL  ,7,744,"Radio, two way                                    "
EQP INVL  ,7,745,"Record player, phonograph, turntable              "
EQP INVL  ,7,747,"Speakers, audio - separate components             "
EQP INVL  ,7,748,Stereo equipment                                  
EQP INVL  ,7,749,Tape recorder or player                           
EQP INVL  ,7,750,"Video equipment, Other                            "
EQP INVL  ,7,751,Cable converter box                               
EQP INVL  ,7,752,"Projector: film, slide, overhead                  "
EQP INVL  ,7,753,Television                                        
EQP INVL  ,7,754,VCR or VCR-TV combination                         
EQP INVL  ,7,755,Video game - electronic                           
EQP INVL  ,7,756,"Camcorder, video camera                           "
EQP INVL  ,7,757,Photographic camera and equipment                 
EQP INVL  ,8,800,"Personal or household equipment, Other            "
EQP INVL  ,8,811,Clothes dryer                                     
EQP INVL  ,8,812,Trash compactor                                   
EQP INVL  ,8,813,Washer/dryer combination (within one frame)       
EQP INVL  ,8,814,Washing machine - clothes                         
EQP INVL  ,8,821,"Hot tub, whirlpool, spa                           "
EQP INVL  ,8,822,Swimming pool equipment                           
EQP INVL  ,8,830,"Floor care equipment, Other                       "
EQP INVL  ,8,831,Broom - electric                                  
EQP INVL  ,8,832,"Carpet cleaning equipment, including rug shampooer"
EQP INVL  ,8,833,"Floor buffer, waxer, cleaner                      "
EQP INVL  ,8,834,Vacuum cleaner                                    
EQP INVL  ,8,841,"Comb, hair brush                                  "
EQP INVL  ,8,842,Curling iron                                      
EQP INVL  ,8,843,Electrolysis equipment                            
EQP INVL  ,8,844,Hair curler warmer                                
EQP INVL  ,8,845,Hair dryer                                        
EQP INVL  ,8,846,"Makeup mirror, lighted                            "
EQP INVL  ,8,847,"Razor, shaver                                     "
EQP INVL  ,8,848,"Suntan equipment, sunlamp                         "
EQP INVL  ,8,849,Toothbrush                                        
EQP INVL  ,8,850,"Portable appliance designed to produce heat, Other"
EQP INVL  ,8,851,Baby bottle warmer                                
EQP INVL  ,8,852,Blanket - electric                                
EQP INVL  ,8,853,Heating pad                                       
EQP INVL  ,8,854,Clothes steamer                                   
EQP INVL  ,8,855,Clothes iron                                      
EQP INVL  ,8,861,Automatic door opener - not garage                
EQP INVL  ,8,862,Burglar alarm                                     
EQP INVL  ,8,863,Garage door opener                                
EQP INVL  ,8,864,Gas detector                                      
EQP INVL  ,8,865,Intercom                                          
EQP INVL  ,8,866,"Smoke or heat detector, fire alarm                "
EQP INVL  ,8,868,Thermostat                                        
EQP INVL  ,8,871,Ashtray                                           
EQP INVL  ,8,872,Charcoal lighter                                  
EQP INVL  ,8,873,"Cigarette lighter, pipe lighter                   "
EQP INVL  ,8,874,Fire-extinguishing equipment                      
EQP INVL  ,8,875,Insect trap                                       
EQP INVL  ,8,876,Timer                                             
EQP INVL  ,8,877,Novelty lighter                                   
EQP INVL  ,8,881,Model vehicles.                                   
EQP INVL  ,8,882,"Toy, powered                                      "
EQP INVL  ,8,883,Woodburning kit                                   
EQP INVL  ,8,891,Clock                                             
EQP INVL  ,8,892,Gun                                               
EQP INVL  ,8,893,Jewelry cleaning machine                          
EQP INVL  ,8,894,Scissors                                          
EQP INVL  ,8,895,Sewing machine                                    
EQP INVL  ,8,896,Shoe polisher                                     
EQP INVL  ,8,897,Sterilizer                                        
EQP INVL  ,9,NNN            ,None                                              
EQP INVL  ,9,UUU            ,Undetermined                                      
EQP PORT  ,               ,1,Portable                                          
EQP PORT  ,               ,2,Stationary                                        
EQP POWER ,5,0,Other power source                                
EQP POWER ,1,10,"Electrical, Other                                 "
EQP POWER ,1,11,Electrical line voltage (>= 50 volts)             
EQP POWER ,1,12,Batteries and low voltage (< 50 volts)            
EQP POWER ,2,20,"Gas fuels, Other                                  "
EQP POWER ,2,21,Natural gas or other lighter-than-air gas         
EQP POWER ,2,22,LP gas or other heavier-than-air gas              
EQP POWER ,3,30,"Liquid fuel, Other                                "
EQP POWER ,3,31,Gasoline                                          
EQP POWER ,3,32,Alcohol                                           
EQP POWER ,3,33,"Kerosene, diesel fuel, No.1 and 2 fuel oil        "
EQP POWER ,3,34,"No.4, 5 & 6 fuel oils                             "
EQP POWER ,4,40,"Solid fuel, Other                                 "
EQP POWER ,4,41,"Wood, paper                                       "
EQP POWER ,4,42,"Coal, charcoal                                    "
EQP POWER ,4,43,Chemicals                                         
EQP POWER ,5,51,Compressed air                                    
EQP POWER ,5,52,Steam                                             
EQP POWER ,5,53,Water                                             
EQP POWER ,5,54,Wind                                              
EQP POWER ,5,55,Solar                                             
EQP POWER ,5,56,Geothermal                                        
EQP POWER ,5,57,Nuclear                                           
EQP POWER ,5,58,Fluid/hydraulic power source                      
EQP POWER ,5,UU             ,Undetermined                                      
EXT SMOKE ,               ,0,Undetermined                                      
EXT SMOKE ,               ,1,Object Only                                       
EXT SMOKE ,               ,2,Part Room/Area                                    
EXT SMOKE ,               ,3,Room of Origin                                    
EXT SMOKE ,               ,4,Fire-rated Compartment                            
EXT SMOKE ,               ,5,Floor of Origin                                   
EXT SMOKE ,               ,6,Structure of Origin                               
EXT SMOKE ,               ,7,Extended Beyond Structure                         
EXT SMOKE ,               ,9,No Damage of This Type                            
FC ACTV   ,9,0,"Activity, Other                                   "
FC ACTV   ,1,10,"Driving or riding vehicle, Other                  "
FC ACTV   ,1,11,Boarding fire department vehicle                  
FC ACTV   ,1,12,Driving fire department vehicle                   
FC ACTV   ,1,13,Tillering fire department vehicle                 
FC ACTV   ,1,14,Riding fire department vehicle                    
FC ACTV   ,1,15,Getting off fire department vehicle               
FC ACTV   ,1,16,Driving/riding non-fire department vehicle        
FC ACTV   ,1,17,Boarding/exiting non-fire department vehicle      
FC ACTV   ,2,20,"Operating fire department apparatus, Other        "
FC ACTV   ,2,21,Operating engine or pumper                        
FC ACTV   ,2,22,Operating aerial ladder or elevating platform     
FC ACTV   ,2,23,Operating EMS vehicle                             
FC ACTV   ,2,24,Operating HazMat vehicle                          
FC ACTV   ,2,25,Operating rescue vehicle                          
FC ACTV   ,3,30,"Extinguishing fire/neutralizing incident, Other   "
FC ACTV   ,3,31,Handling charged hose lines                       
FC ACTV   ,3,32,Using hand extinguishers                          
FC ACTV   ,3,33,Operating master steam device                     
FC ACTV   ,3,34,Using hand tools in extinguishment activity       
FC ACTV   ,3,35,Removing power lines                              
FC ACTV   ,3,36,Removing flammable liquids/chemicals              
FC ACTV   ,3,37,"Shutting off utilities, gas lines, etc.           "
FC ACTV   ,4,40,"Suppression support, Other                        "
FC ACTV   ,4,41,Forcible entry                                    
FC ACTV   ,4,42,Ventilation with power tools                      
FC ACTV   ,4,43,Ventilation with hand tools                       
FC ACTV   ,4,44,Salvage                                           
FC ACTV   ,4,45,Overhaul                                          
FC ACTV   ,5,50,"Access/egress, Other                              "
FC ACTV   ,5,51,Carrying ground ladder                            
FC ACTV   ,5,52,Raising ground ladder                             
FC ACTV   ,5,53,Lowering ground ladder                            
FC ACTV   ,5,54,Climbing ladder                                   
FC ACTV   ,5,55,Scaling                                           
FC ACTV   ,5,56,Escaping fire/hazard                              
FC ACTV   ,5,57,Moving/lifting patient with carrying device       
FC ACTV   ,5,58,Lifting/carrying patient without carrying device  
FC ACTV   ,6,60,"EMS/rescue, Other                                 "
FC ACTV   ,6,61,Searching for victim                              
FC ACTV   ,6,62,Rescuing fire victim                              
FC ACTV   ,6,63,Rescuing non-fire victim                          
FC ACTV   ,6,64,Water rescue                                      
FC ACTV   ,6,65,Providing EMS care                                
FC ACTV   ,6,66,Diving operations                                 
FC ACTV   ,6,67,Extraction with power tools                       
FC ACTV   ,6,68,Extraction with hand tools                        
FC ACTV   ,7,70,"Other incident scene activity, Other              "
FC ACTV   ,7,71,Directing traffic                                 
FC ACTV   ,7,72,Catching hydrant                                  
FC ACTV   ,7,73,Laying hose                                       
FC ACTV   ,7,74,Moving tools or equipment around scene            
FC ACTV   ,7,75,"Picking up tools, equipment, or hose on scene     "
FC ACTV   ,7,76,Setting up lighting                               
FC ACTV   ,7,77,Operating portable pump                           
FC ACTV   ,8,80,"Station activity, Other                           "
FC ACTV   ,8,81,"Moving about station, alarm sounding              "
FC ACTV   ,8,82,"Moving about station, normal activity             "
FC ACTV   ,8,83,Station maintenance                               
FC ACTV   ,8,84,Vehicle maintenance                               
FC ACTV   ,8,85,Equipment maintenance                             
FC ACTV   ,8,86,"Physical fitness activity, supervised             "
FC ACTV   ,8,87,"Physical fitness activity, unsupervised           "
FC ACTV   ,8,88,Training activity or drill                        
FC ACTV   ,9,91,"Incident investigation, during incident           "
FC ACTV   ,9,92,"Incident investigation, after incident            "
FC ACTV   ,9,93,Inspection activity                               
FC ACTV   ,9,94,Administrative work                               
FC ACTV   ,9,95,Communications work                               
FC ACTV   ,9,UU             ,Undetermined                                      
FC ASSIGN ,               ,0,Other assignment                                  
FC ASSIGN ,               ,1,"Fire suppression, included are HazMat, rescue, IC "
FC ASSIGN ,               ,2,EMS                                               
FC ASSIGN ,               ,3,Prevention or inspection                          
FC ASSIGN ,               ,4,Training                                          
FC ASSIGN ,               ,5,Maintenance                                       
FC ASSIGN ,               ,6,Communications                                    
FC ASSIGN ,               ,7,Administration                                    
FC ASSIGN ,               ,8,Fire investigation                                
FC BODY   ,O              ,0,"Body part, Other                                  "
FC BODY   ,1,10,"Head, Other                                       "
FC BODY   ,1,11,Ear                                               
FC BODY   ,1,12,Eye                                               
FC BODY   ,1,13,Nose                                              
FC BODY   ,1,14,"Mouth included are lips, teeth and interior       "
FC BODY   ,2,21,Neck                                              
FC BODY   ,2,22,Throat                                            
FC BODY   ,2,23,Shoulder                                          
FC BODY   ,3,30,"Thorax, Other (conversion only)                   "
FC BODY   ,3,31,"Back, except spine                                "
FC BODY   ,3,32,Chest                                             
FC BODY   ,4,41,Abdomen                                           
FC BODY   ,4,42,Pelvis or groin                                   
FC BODY   ,4,43,"Hip, lower back or buttocks                       "
FC BODY   ,5,51,Spine                                             
FC BODY   ,6,60,"Upper extremities, Other (conversion only)        "
FC BODY   ,6,61,"Arm, upper, not including elbow or shoulder       "
FC BODY   ,6,62,"Arm, lower, not including elbow or wrist          "
FC BODY   ,6,63,Elbow                                             
FC BODY   ,6,64,Wrist                                             
FC BODY   ,6,65,Hand and fingers                                  
FC BODY   ,7,70,"Lower extremities, Other (conversion only)        "
FC BODY   ,7,71,"Leg, upper                                        "
FC BODY   ,7,72,"Leg, lower                                        "
FC BODY   ,7,73,Knee                                              
FC BODY   ,7,74,Ankle                                             
FC BODY   ,7,75,Foot and toes                                     
FC BODY   ,8,80,"Internal, Other                                   "
FC BODY   ,8,81,Trachea and lungs                                 
FC BODY   ,8,82,Heart                                             
FC BODY   ,8,83,Stomach                                           
FC BODY   ,8,84,Intestinal tract                                  
FC BODY   ,8,85,Genito-urinary                                    
FC BODY   ,9,91,Multiple body parts - upper part of body          
FC BODY   ,9,92,Multiple body parts - lower part of body          
FC BODY   ,9,93,Multiple body parts - whole body                  
FC BODY   ,O              ,NN             ,None                                              
FC BODY   ,O              ,UU             ,Part of body undetermined                         
FC CAUSE  ,               ,0,"Cause of injury, other                            "
FC CAUSE  ,               ,1,Fall                                              
FC CAUSE  ,               ,2,Jump                                              
FC CAUSE  ,               ,3,Slip/trip                                         
FC CAUSE  ,               ,4,Exposure to hazard                                
FC CAUSE  ,               ,5,Struck or assaulted by person/animal/object       
FC CAUSE  ,               ,6,Contact with object (firefighter moved into/onto) 
FC CAUSE  ,               ,7,Overexertion/strain                               
FC CAUSE  ,               ,U              ,Undetermined                                      
FC COND   ,               ,0,"Physical condition, other                         "
FC COND   ,               ,1,Rested                                            
FC COND   ,               ,2,Fatigued                                          
FC COND   ,               ,4,Ill or injured                                    
FC COND   ,               ,U              ,Undetermined                                      
FC E FAIL ,               ,N              ,No                                                
FC E FAIL ,               ,Y              ,Yes                                               
FC E ITEM ,9,0,Other protective equipment item                   
FC E ITEM ,1,10,"Head or face protection, Other                    "
FC E ITEM ,1,11,Helmet                                            
FC E ITEM ,1,12,Full face protector                               
FC E ITEM ,1,13,Partial face protector                            
FC E ITEM ,1,14,Goggles/eye protection                            
FC E ITEM ,1,15,Hood                                              
FC E ITEM ,1,16,Ear protector                                     
FC E ITEM ,1,17,Neck protector                                    
FC E ITEM ,2,20,"Coat, shirt or trousers, Other                    "
FC E ITEM ,2,21,Protective coat                                   
FC E ITEM ,2,22,Protective trousers                               
FC E ITEM ,2,23,Uniform shirt                                     
FC E ITEM ,2,24,Uniform T-shirt                                   
FC E ITEM ,2,25,Uniform trousers                                  
FC E ITEM ,2,26,Uniform coat or jacket                            
FC E ITEM ,2,27,Coveralls                                         
FC E ITEM ,2,28,Apron or gown                                     
FC E ITEM ,3,30,"Boots or shoes, Other                             "
FC E ITEM ,3,31,Knee-length boots w/steel baseplate & steel toes  
FC E ITEM ,3,32,Knee-length boots with steel toes only            
FC E ITEM ,3,33,3/4-length boots w/steel baseplate & steel toes   
FC E ITEM ,3,34,3/4-length boots with steel toes only             
FC E ITEM ,3,35,Boots without steel baseplate or steel toes       
FC E ITEM ,3,36,Safety shoes with steel baseplate and steel toes  
FC E ITEM ,3,37,Safety shoes with steel toes only                 
FC E ITEM ,3,38,Non-safety shoes                                  
FC E ITEM ,4,40,"Respiratory protection, Other                     "
FC E ITEM ,4,41,Self-contained breathing apparatus (SCBA) demand  
FC E ITEM ,4,42,Self-contained breathing apparatus (SCBA) positive
FC E ITEM ,4,43,Self-contained breathing apparatus (SCBA) closed  
FC E ITEM ,4,44,Non-self-contained breathing apparatus            
FC E ITEM ,4,45,Cartridge respirator                              
FC E ITEM ,4,46,Dust or particle mask                             
FC E ITEM ,5,50,"Hand protection, Other                            "
FC E ITEM ,5,51,Firefighter gloves with wristlets                 
FC E ITEM ,5,52,Firefighter gloves without wristlets              
FC E ITEM ,5,53,Work gloves                                       
FC E ITEM ,5,54,HazMat gloves                                     
FC E ITEM ,5,55,Medical gloves                                    
FC E ITEM ,6,61,Proximity suit for entry                          
FC E ITEM ,6,62,Proximity suit for non-entry                      
FC E ITEM ,6,63,"Totally encapsulated, reusable chemical suit      "
FC E ITEM ,6,64,"Totally encapsulated, disposable chemical suit    "
FC E ITEM ,6,65,"Partially encapsulated, reusable chemical suit    "
FC E ITEM ,6,66,"Partially encapsulated, disposable chemical suit  "
FC E ITEM ,6,67,Flash protection suit                             
FC E ITEM ,6,68,Flight or jump suit                               
FC E ITEM ,6,69,Brush suit                                        
FC E ITEM ,7,70,"Special equipment, Other                          "
FC E ITEM ,7,71,Exposure suit                                     
FC E ITEM ,7,72,Self-contained underwater breathing appr (SCUBA)  
FC E ITEM ,7,73,Life preserver                                    
FC E ITEM ,7,74,Life belt or ladder belt                          
FC E ITEM ,7,75,Personal alert safety system (PASS)               
FC E ITEM ,7,76,Radio distress device                             
FC E ITEM ,7,77,Personal lighting                                 
FC E ITEM ,7,78,Fire shelter or tent                              
FC E ITEM ,7,79,Vehicle safety belt                               
FC E ITEM ,9,NN             ,None (conversion only)                            
FC E ITEM ,9,UU             ,Undetermined (conversion only)                    
FC E PROB ,               ,0,"Protective equipment problem, other               "
FC E PROB ,               ,11,Burned                                            
FC E PROB ,               ,12,Melted                                            
FC E PROB ,               ,21,"Fractured, cracked or broke                       "
FC E PROB ,               ,22,Punctured                                         
FC E PROB ,               ,23,Scratched                                         
FC E PROB ,               ,24,Knocked off                                       
FC E PROB ,               ,25,Cut or ripped                                     
FC E PROB ,               ,31,Trapped steam or hazardous gas                    
FC E PROB ,               ,32,Insufficient insulation                           
FC E PROB ,               ,33,Object fell in or onto equipment item             
FC E PROB ,               ,41,Failed under impact                               
FC E PROB ,               ,42,Face piece or hose detached                       
FC E PROB ,               ,43,Exhalation valve inoperative or damaged           
FC E PROB ,               ,44,Harness detached or separated                     
FC E PROB ,               ,45,Regulator failed to operate                       
FC E PROB ,               ,46,Regulator damaged by contact                      
FC E PROB ,               ,47,Problem with admissions valve                     
FC E PROB ,               ,48,Alarm failed to operate                           
FC E PROB ,               ,49,Alarm damaged by contact                          
FC E PROB ,               ,51,Supply cylinder or valve failed to operate        
FC E PROB ,               ,52,Supply cylinder or valve damaged by contact       
FC E PROB ,               ,53,Supply cylinder contained insufficient air        
FC E PROB ,               ,94,Did not fit properly                              
FC E PROB ,               ,95,Not properly serviced or stored prior to use      
FC E PROB ,               ,96,Not used for designed purpose                     
FC E PROB ,               ,97,Not used as recommended by manufacturer           
FC E PROB ,               ,NN             ,None                                              
FC E PROB ,               ,UU             ,Undetermined                                      
FC FACT   ,9,0,"Contributing factor, other                        "
FC FACT   ,1,10,"Collapse or falling object, Other                 "
FC FACT   ,1,11,Roof collapse                                     
FC FACT   ,1,12,Wall collapse                                     
FC FACT   ,1,13,Floor collapse                                    
FC FACT   ,1,14,Ceiling collapse                                  
FC FACT   ,1,15,Stair collapse                                    
FC FACT   ,1,16,Falling objects                                   
FC FACT   ,1,17,Cave-in (earth)                                   
FC FACT   ,2,20,"Fire development, Other                           "
FC FACT   ,2,21,"Fire progress, including smoky conditions         "
FC FACT   ,2,22,Backdraft                                         
FC FACT   ,2,23,Flashover                                         
FC FACT   ,2,24,Explosion                                         
FC FACT   ,3,30,"Lost, caught, trapped, or confined, Other         "
FC FACT   ,3,31,Person physically caught or trapped               
FC FACT   ,3,32,Lost in building                                  
FC FACT   ,3,33,Operating in confined structural areas            
FC FACT   ,3,34,Operating under water or ice                      
FC FACT   ,4,40,"Holes, Other                                      "
FC FACT   ,4,41,Unguarded hole in structure                       
FC FACT   ,4,42,Hole burned through roof                          
FC FACT   ,4,43,Hole burned through floor                         
FC FACT   ,5,50,"Slippery or uneven surfaces, Other                "
FC FACT   ,5,51,Icy surface                                       
FC FACT   ,5,52,"Wet surface, included are water/soap/foam, etc.   "
FC FACT   ,5,53,Loose material on surface                         
FC FACT   ,5,54,"Uneven surface, included are holes in the ground  "
FC FACT   ,6,60,"Vehicle or apparatus, Other                       "
FC FACT   ,6,61,Vehicle left road or overturned                   
FC FACT   ,6,62,Vehicle collided with another vehicle             
FC FACT   ,6,63,Vehicle collided with nonvehicular object         
